source,method,seed,n_examples,answer_F1,support_F1,joint_F1,support_title_recall,answer_EM,support_EM,joint_EM,avg_topk,budget_std,reader_model,beam_size,max_input_length,passage_ordering,path
bsp,agent_bsp_bandit_reader,0,1000,0.6545575269614314,0.506,0.33164087196610026,0.744,0.576,0.208,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-reader_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_reader,1,1000,0.6545575269614314,0.5065,0.33184087196610024,0.7445,0.576,0.209,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-reader_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_reader,2,1000,0.6545575269614314,0.5065,0.33184087196610024,0.7445,0.576,0.209,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-reader_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_reader,3,1000,0.6556241936280982,0.506,0.3322742052994336,0.7435,0.578,0.208,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-reader_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_reader,4,1000,0.6545575269614314,0.506,0.33184087196610024,0.7445,0.576,0.208,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-reader_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_retrieval,0,1000,0.6545575269614314,0.506,0.33164087196610026,0.744,0.576,0.208,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-retrieval_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_retrieval,1,1000,0.6545575269614314,0.5065,0.33184087196610024,0.7445,0.576,0.209,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-retrieval_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_retrieval,2,1000,0.6545575269614314,0.5065,0.33184087196610024,0.7445,0.576,0.209,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-retrieval_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_retrieval,3,1000,0.6556241936280982,0.506,0.3322742052994336,0.7435,0.578,0.208,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-retrieval_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
bsp,agent_bsp_bandit_retrieval,4,1000,0.6545575269614314,0.506,0.33184087196610024,0.7445,0.576,0.208,0.108,3.0,0.0,t5-base,3,768,retrieval_score,/home/iiserver31/projects/FedE4RAG-main/V7-agent-BSP/eval_outputs/official_fid_t5/v7bsp_bsp_methods/agent-bsp-bandit-retrieval_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem0_dyn1_ecw000_slotdyn_pmf0r0i1bg1dh0/official_metrics.json
