query_id,question,gold_answer,gold_supporting_titles,client_id,round_id,method,query_hardness,domain_rarity,selected_blocks,selected_block_types,score_components,replacement_reason,early_hit,bridge_hit,support_title_hit,answer_prediction,answer_correct,joint_f1
0,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.5
1,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,1.0,1.0
2,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,1.0,0.5
3, What nationality was James Henry Miller's wife?,American,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,0.0,0.0
4,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",alcohol,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
5,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",Jonathan Stark,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.0
6,Which genus of moth in the world's seventh-largest country contains only one species?,Crambidae,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,0.0,0.0
7,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",Badr Hari,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,1.0,0.0
8,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2006,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,1.0,1.0
9,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
10,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",Jaime Meline,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
11,"Gunmen from Laredo starred which narrator of ""Frontier""?",Walter Darwin Coy,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,0.0,0.4
12,Where did the form of music played by Die Rhöner Säuwäntzt originate?,United States,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
13,In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.0
14,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",US 60,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.25
15,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",2006,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.5
16,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0625
17,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",Fox,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,1.0,1.0
18,"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",2017,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,1.0,0.5
19,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",Nevada,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,1.0,0.0
20,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",Hawaii,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
21,Which  American politician did Donahue replaced ,Kelli Ward,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
22,"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",The Wolfhounds,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,1.0,0.5
23,How old is the female main protagonist of Catching Fire?,16-year-old,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,0.0,0.0
24,Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,World War II,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.5
25,Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.5
26,"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",Carol Lawrence,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.5
27,Were Pavel Urysohn and Leonid Levin known for the same type of work?,no,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
28,Are both The New Pornographers and Kings of Leon American rock bands?,no,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
29,"750 7th Avenue and 101 Park Avenue, are located in which city?",New York City,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.5
30,"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",Amy Jo Johnson,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,1.0,0.5
31,"Who was born first, Pablo Trapero or Aleksander Ford?",Aleksander Ford,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,0.0,0.0
32,Are Jane and First for Women both women's magazines?,yes,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,0.5,,0.0,0.0
33,What profession does Nicholas Ray and Elia Kazan have in common?,director,,,,agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,,,,,,,,,1.0,,0.0,0.6666666666666666
