method,profile,suite,seed,path,answer_em,answer_f1,answer_precision,answer_recall,sp_em,sp_f1,sp_precision,sp_recall,joint_em,joint_f1,answer_access_at_k,support_title_recall_at_k,all_gold_sp_retrieved_at_k
agent_pm_bandit_slot,v7pm_bandit_slot_ucb_proxy,v7pm_bandit_slot,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-bandit-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.208,0.506,0.506,0.506,0.113,0.3315276324278607,0.858,0.7445,0.208
agent_pm_bandit_slot,v7pm_bandit_slot_ucb_proxy,v7pm_bandit_slot,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-bandit-slot_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_pm_bandit_slot,v7pm_bandit_slot_ucb_proxy,v7pm_bandit_slot,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-bandit-slot_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.208,0.506,0.506,0.506,0.113,0.3315276324278607,0.858,0.7445,0.208
agent_pm_bandit_slot,v7pm_bandit_slot_ucb_proxy,v7pm_bandit_slot,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-bandit-slot_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.208,0.506,0.506,0.506,0.113,0.3315276324278607,0.858,0.7445,0.208
agent_pm_bandit_slot,v7pm_bandit_slot_ucb_proxy,v7pm_bandit_slot,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-bandit-slot_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_pm_dynamic_full,v7pm_planning_memory_full,v7pm_bandit_slot,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-dynamic-full_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_pm_dynamic_full,v7pm_planning_memory_full,v7pm_bandit_slot,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-dynamic-full_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.859,0.7445,0.209
agent_pm_dynamic_full,v7pm_planning_memory_full,v7pm_bandit_slot,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-dynamic-full_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_pm_dynamic_full,v7pm_planning_memory_full,v7pm_bandit_slot,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-dynamic-full_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_pm_dynamic_full,v7pm_planning_memory_full,v7pm_bandit_slot,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-pm-dynamic-full_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist9_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
